latitude,longitude,frp,acq_date,confidence,source_region
12.50358,23.6847,0.96,2026-05-15,nominal,Northern_and_Central_Africa
10.61263,20.97822,5.88,2026-05-15,nominal,Northern_and_Central_Africa
12.0586,12.52534,4.47,2026-05-15,nominal,Northern_and_Central_Africa
12.05805,12.52889,6.64,2026-05-15,nominal,Northern_and_Central_Africa
10.61167,20.97747,7.24,2026-05-15,nominal,Northern_and_Central_Africa
10.41558,21.59214,4.66,2026-05-15,nominal,Northern_and_Central_Africa
10.415,21.59522,2.74,2026-05-15,nominal,Northern_and_Central_Africa
12.90432,4.87826,0.83,2026-05-15,nominal,Northern_and_Central_Africa
12.90682,4.88017,2.02,2026-05-15,nominal,Northern_and_Central_Africa
10.22119,21.59145,0.65,2026-05-15,nominal,Northern_and_Central_Africa
12.05007,7.14145,1.12,2026-05-15,nominal,Northern_and_Central_Africa
11.91431,7.68927,0.57,2026-05-15,nominal,Northern_and_Central_Africa
11.9459,6.99241,2.4,2026-05-15,nominal,Northern_and_Central_Africa
5.01743,6.2987,2.01,2026-05-15,nominal,Northern_and_Central_Africa
4.51812,7.75844,1.01,2026-05-15,nominal,Northern_and_Central_Africa
4.51437,7.75786,0.71,2026-05-15,nominal,Northern_and_Central_Africa
0.33014,11.46498,0.53,2026-05-15,nominal,Northern_and_Central_Africa
-0.75257,8.75296,2.56,2026-05-15,nominal,Northern_and_Central_Africa
-0.89099,8.6575,0.85,2026-05-15,nominal,Northern_and_Central_Africa
-1.32096,8.83858,1.25,2026-05-15,nominal,Northern_and_Central_Africa
-1.52431,9.95442,1.65,2026-05-15,nominal,Northern_and_Central_Africa
-1.58851,9.97265,1.28,2026-05-15,nominal,Northern_and_Central_Africa
-1.63761,9.88017,0.74,2026-05-15,nominal,Northern_and_Central_Africa
-1.57992,8.79429,1.01,2026-05-15,nominal,Northern_and_Central_Africa
-1.58049,8.79787,1.01,2026-05-15,nominal,Northern_and_Central_Africa
-1.77615,9.81182,0.64,2026-05-15,nominal,Northern_and_Central_Africa
-1.79981,9.89657,4.07,2026-05-15,nominal,Northern_and_Central_Africa
-1.80776,9.79625,2.54,2026-05-15,nominal,Northern_and_Central_Africa
-1.84831,10.00918,0.37,2026-05-15,nominal,Northern_and_Central_Africa
-1.95849,9.87538,2.77,2026-05-15,nominal,Northern_and_Central_Africa
-2.07293,9.80798,2.27,2026-05-15,nominal,Northern_and_Central_Africa
-2.07533,9.16274,0.69,2026-05-15,nominal,Northern_and_Central_Africa
-2.42463,9.86908,1.45,2026-05-15,nominal,Northern_and_Central_Africa
-2.77923,10.01479,1.44,2026-05-15,nominal,Northern_and_Central_Africa
-2.96036,11.03064,1.61,2026-05-15,nominal,Northern_and_Central_Africa
-2.86082,10.22868,1.49,2026-05-15,nominal,Northern_and_Central_Africa
-5.11447,20.87214,3.71,2026-05-15,nominal,Northern_and_Central_Africa
-5.11514,20.87673,1.96,2026-05-15,nominal,Northern_and_Central_Africa
-5.11243,20.87616,2.09,2026-05-15,nominal,Northern_and_Central_Africa
-5.11181,20.87164,2.09,2026-05-15,nominal,Northern_and_Central_Africa
-3.86242,10.94662,1.0,2026-05-15,nominal,Northern_and_Central_Africa
-4.53223,15.19537,0.38,2026-05-15,nominal,Northern_and_Central_Africa
-3.92775,10.92179,0.82,2026-05-15,nominal,Northern_and_Central_Africa
-3.95482,10.96162,0.43,2026-05-15,nominal,Northern_and_Central_Africa
-3.95542,10.96202,0.79,2026-05-15,nominal,Northern_and_Central_Africa
-4.24616,10.81835,1.36,2026-05-15,nominal,Northern_and_Central_Africa
-4.41686,11.03539,0.77,2026-05-15,nominal,Northern_and_Central_Africa
-4.51696,11.52225,1.53,2026-05-15,nominal,Northern_and_Central_Africa
-4.51754,11.52601,1.64,2026-05-15,nominal,Northern_and_Central_Africa
-4.5185,11.41856,0.53,2026-05-15,nominal,Northern_and_Central_Africa
-4.52194,11.41803,5.22,2026-05-15,nominal,Northern_and_Central_Africa
-4.8535,12.01985,0.92,2026-05-15,nominal,Northern_and_Central_Africa
-4.85643,12.01539,1.01,2026-05-15,nominal,Northern_and_Central_Africa
-4.85704,12.01929,0.92,2026-05-15,nominal,Northern_and_Central_Africa
