date,location_name,pm25
2024-01-27,Dandenong,4.781208333333334
2024-01-27,Geelong South,4.2787500000000005
2024-01-27,Melbourne CBD,8.071583333333333
2024-01-27,Melton,4.445416666666667
2024-01-27,Traralgon,7.050041666666667
2024-01-28,Alphington,4.272666666666667
2024-01-28,Brighton,5.11475
2024-01-28,Dandenong,3.030291666666667
2024-01-28,Geelong South,2.5655833333333335
2024-01-28,Melbourne CBD,5.623583333333333
2024-01-28,Melton,3.6149166666666672
2024-01-28,Traralgon,3.6639583333333334
2024-01-29,Alphington,5.2167916666666665
2024-01-29,Brighton,7.066083333333333
2024-01-29,Dandenong,4.601208333333333
2024-01-29,Geelong South,2.6029583333333335
2024-01-29,Melbourne CBD,7.707958333333333
2024-01-29,Melton,3.411875
2024-01-29,Traralgon,5.234416666666666
2024-01-30,Alphington,6.437458333333333
2024-01-30,Brighton,6.082083333333333
2024-01-30,Dandenong,6.334291666666666
2024-01-30,Geelong South,5.083208333333333
2024-01-30,Melbourne CBD,7.100708333333333
2024-01-30,Melton,6.165666666666667
2024-01-30,Traralgon,5.478416666666667
2024-01-31,Alphington,5.271
2024-01-31,Brighton,4.940375
2024-01-31,Dandenong,5.48775
2024-01-31,Geelong South,4.589583333333334
2024-01-31,Melbourne CBD,6.973458333333333
2024-01-31,Melton,3.2980833333333335
2024-01-31,Traralgon,5.639125
2024-02-01,Alphington,6.274125
2024-02-01,Brighton,6.617958333333333
2024-02-01,Dandenong,5.856333333333334
2024-02-01,Geelong South,4.5026363636363635
2024-02-01,Melbourne CBD,7.100833333333333
2024-02-01,Melton,5.5726249999999995
2024-02-01,Traralgon,5.278041666666667
2024-02-02,Alphington,7.984666666666667
2024-02-02,Brighton,8.657958333333333
2024-02-02,Dandenong,8.222750000000001
2024-02-02,Geelong South,7.184083333333334
2024-02-02,Melbourne CBD,9.628333333333334
2024-02-02,Melton,6.050916666666667
2024-02-02,Traralgon,7.773333333333333
2024-02-03,Alphington,8.899166666666666
2024-02-03,Brighton,9.536208333333333
2024-02-03,Dandenong,6.970875
2024-02-03,Geelong South,7.288541666666666
2024-02-03,Melbourne CBD,11.435625
2024-02-03,Melton,6.756166666666666
2024-02-03,Traralgon,8.164458333333334
2024-02-04,Alphington,8.439041666666666
2024-02-04,Brighton,7.881958333333333
2024-02-04,Dandenong,7.026625
2024-02-04,Geelong South,8.368458333333333
2024-02-04,Melbourne CBD,7.824375
2024-02-04,Melton,6.3661666666666665
2024-02-04,Traralgon,9.686375
2024-02-05,Alphington,5.94675
2024-02-05,Brighton,5.98
2024-02-05,Dandenong,6.085458333333333
2024-02-05,Geelong South,4.798291666666667
2024-02-05,Melbourne CBD,7.999583333333333
2024-02-05,Melton,4.413541666666667
2024-02-05,Traralgon,7.162708333333334
2024-02-06,Alphington,3.324375
2024-02-06,Brighton,3.3175833333333333
2024-02-06,Dandenong,3.2604583333333332
2024-02-06,Geelong South,2.3061666666666665
2024-02-06,Melbourne CBD,4.81675
2024-02-06,Melton,-0.10710000000000006
2024-02-06,Traralgon,3.5498333333333334
2024-02-07,Alphington,3.23025
2024-02-07,Brighton,5.31375
2024-02-07,Dandenong,3.609958333333333
2024-02-07,Geelong South,4.5112000000000005
2024-02-07,Melbourne CBD,5.430791666666667
2024-02-07,Traralgon,3.7937083333333335
2024-02-08,Alphington,6.44275
2024-02-08,Brighton,5.79325
2024-02-08,Dandenong,5.458291666666667
2024-02-08,Melbourne CBD,6.953125
2024-02-08,Melton,6.800375
2024-02-08,Traralgon,4.726166666666667
2024-02-09,Alphington,5.047208333333334
2024-02-09,Brighton,4.993916666666666
2024-02-09,Dandenong,4.104
2024-02-09,Melbourne CBD,5.910166666666667
2024-02-09,Melton,4.568333333333333
2024-02-09,Traralgon,4.654125
2024-02-10,Alphington,10.378458333333333
2024-02-10,Brighton,10.967666666666666
2024-02-10,Dandenong,8.533375
2024-02-10,Melbourne CBD,12.635958333333333
2024-02-10,Melton,7.211125
2024-02-10,Traralgon,6.02325
2024-02-11,Alphington,6.402041666666666
2024-02-11,Brighton,7.474708333333333
2024-02-11,Dandenong,6.452304347826087
2024-02-11,Melbourne CBD,6.790708333333334
2024-02-11,Melton,5.643041666666667
2024-02-11,Traralgon,7.062541666666666
2024-02-12,Alphington,10.057083333333333
2024-02-12,Brighton,11.128
2024-02-12,Dandenong,10.590333333333334
2024-02-12,Melbourne CBD,12.439583333333333
2024-02-12,Melton,8.687041666666667
2024-02-12,Traralgon,7.135083333333333
2024-02-13,Alphington,9.20775
2024-02-13,Brighton,9.817791666666666
2024-02-13,Dandenong,8.726176470588236
2024-02-13,Melbourne CBD,10.216916666666666
2024-02-13,Melton,8.777714285714286
2024-02-13,Traralgon,8.856125
2024-02-14,Alphington,6.093875
2024-02-14,Brighton,5.253458333333334
2024-02-14,Dandenong,4.2134583333333335
2024-02-14,Melbourne CBD,7.701416666666667
2024-02-14,Melton,3.6572916666666666
2024-02-14,Traralgon,5.48475
2024-02-15,Alphington,4.837208333333333
2024-02-15,Brighton,5.472791666666667
2024-02-15,Dandenong,5.638125
2024-02-15,Melbourne CBD,7.089833333333333
2024-02-15,Melton,4.43575
2024-02-15,Traralgon,4.961125
2024-02-16,Alphington,7.485250000000001
