latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-31.43015,151.67188,338.19,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,290.3,2.88,D
-31.3457,147.85149,335.73,0.4,0.44,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,298.5,2.28,D
-30.55408,151.31157,347.69,0.42,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,313.84,5.77,D
-30.55344,151.30803,346.46,0.42,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,315.05,9.93,D
-30.09249,151.56969,353.45,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,311.57,9.66,D
-30.08906,151.56908,352.86,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,316.84,9.66,D
-30.09,151.57019,353.78,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,315.43,10.42,D
-30.08657,151.56958,343,0.41,0.37,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,low,2.0NRT,314.15,10.42,D
-29.54534,153.23717,331.52,0.38,0.36,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,297.96,1.72,D
-29.84031,148.86247,331.26,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,297.06,6.8,D
-29.84095,148.8571,353.98,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,302.07,6.8,D
-29.84158,148.85173,351.93,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,310,36.89,D
-29.84221,148.84634,335.31,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,289.83,36.89,D
-29.83648,148.86186,339.55,0.51,0.41,2026-03-16T00:00:00Z,1899-12-31T03:38:00Z,N,nominal,2.0NRT,300.07,9.83,D
-26.51879,146.94588,347.86,0.39,0.44,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,309.26,6.44,D
-26.14933,148.82693,331.09,0.47,0.4,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,300.42,1.8,D
-26.14657,148.82848,348.17,0.47,0.4,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,300.9,8.16,D
-26.14719,148.82375,341.33,0.47,0.4,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,300.07,5.64,D
-26.14289,148.8279,330.98,0.47,0.4,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,300.03,3.56,D
-25.75187,151.16586,341.4,0.39,0.36,2026-03-16T00:00:00Z,1899-12-31T03:40:00Z,N,nominal,2.0NRT,299.74,10.71,D
