latitude,longitude,frp,acq_date,confidence,fire_count
-24,144,9.05,2024,aggregated,2420
-24,146,8.38,2024,aggregated,14333
-24,148,7.5,2024,aggregated,7615
-24,150,5.87,2024,aggregated,6182
-22,114,3.54,2024,aggregated,1478
-22,116,10.81,2024,aggregated,3054
-22,118,16.75,2024,aggregated,3962
-22,120,13.98,2024,aggregated,3286
-22,122,16.39,2024,aggregated,954
-22,124,22.86,2024,aggregated,1095
-22,126,16.56,2024,aggregated,3894
-22,128,19.91,2024,aggregated,2018
-22,130,16.39,2024,aggregated,3253
-22,132,14.08,2024,aggregated,5064
-22,134,16.67,2024,aggregated,24214
-22,136,10.31,2024,aggregated,6075
-22,138,13.97,2024,aggregated,17179
-22,140,14.92,2024,aggregated,12413
-22,142,12.15,2024,aggregated,3305
-22,144,9.25,2024,aggregated,18720
-22,146,8.88,2024,aggregated,6030
-22,148,7.1,2024,aggregated,6635
-22,150,10.01,2024,aggregated,28
-20,120,16.54,2024,aggregated,1037
-20,122,11.17,2024,aggregated,3412
-20,124,11.14,2024,aggregated,3769
-20,126,10.73,2024,aggregated,9428
-20,128,12.08,2024,aggregated,9450
-20,130,12.5,2024,aggregated,7868
-20,132,13.8,2024,aggregated,16546
-20,134,12.5,2024,aggregated,12774
-20,136,13.19,2024,aggregated,5242
-20,138,14.08,2024,aggregated,24381
-20,140,11.72,2024,aggregated,4537
-20,142,9.81,2024,aggregated,24612
-20,144,8.63,2024,aggregated,8433
-20,146,7.98,2024,aggregated,2691
-20,148,3.65,2024,aggregated,6
-18,122,12.26,2024,aggregated,8639
-18,124,6.83,2024,aggregated,17212
-18,126,8.12,2024,aggregated,12528
-18,128,10.06,2024,aggregated,20322
-18,130,11.5,2024,aggregated,12662
-18,132,12.52,2024,aggregated,18070
-18,134,14.74,2024,aggregated,19312
-18,136,11.52,2024,aggregated,22735
-18,138,11.21,2024,aggregated,4010
-18,140,11.56,2024,aggregated,2868
-18,142,8.77,2024,aggregated,18249
-18,144,7.44,2024,aggregated,15081
-18,146,6.31,2024,aggregated,4
-16,124,7.72,2024,aggregated,14832
-16,126,7.45,2024,aggregated,25676
-16,128,7.98,2024,aggregated,14567
-16,130,7.93,2024,aggregated,26524
-16,132,9.61,2024,aggregated,22362
-16,134,10.77,2024,aggregated,22764
-16,136,11.87,2024,aggregated,6110
-16,140,7.96,2024,aggregated,3931
-16,142,7.48,2024,aggregated,19304
-16,144,6.86,2024,aggregated,7766
-14,126,8.77,2024,aggregated,422
-14,128,10.64,2024,aggregated,1324
-14,130,10.17,2024,aggregated,25456
-14,132,8.46,2024,aggregated,39891
-14,134,8.86,2024,aggregated,32425
-14,136,8.73,2024,aggregated,7206
-14,140,9.3,2024,aggregated,6354
-14,142,7.52,2024,aggregated,10531
-12,118,5.65,2024,aggregated,1
-12,120,6.1,2024,aggregated,1000
-12,122,5.56,2024,aggregated,634
-12,124,5.47,2024,aggregated,240
-12,130,7.77,2024,aggregated,7466
-12,132,8.76,2024,aggregated,6708
-12,134,7.41,2024,aggregated,877
-12,136,6.62,2024,aggregated,36
-12,140,8.02,2024,aggregated,342
-12,142,11.18,2024,aggregated,6249
-10,112,5.61,2024,aggregated,1234
-10,114,6.53,2024,aggregated,503
-10,116,6.92,2024,aggregated,2350
-10,118,7.01,2024,aggregated,4503
-10,120,6.48,2024,aggregated,2641
-10,122,7.85,2024,aggregated,3763
-10,124,6.4,2024,aggregated,3955
-10,126,5.18,2024,aggregated,90
-10,128,7.4,2024,aggregated,56
-10,130,6.59,2024,aggregated,324
-10,136,6.9,2024,aggregated,730
-10,138,5.81,2024,aggregated,412
-10,140,7.68,2024,aggregated,1263
-10,142,8.79,2024,aggregated,31
